id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,evenness,celaantal,gini_thas,gini_wittebolle,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,count,pathogen,dilution,CFU
13,10000,1000,1000,2000,1000,2000,2000,2000,2000000,1000,0.03453079,2022000,0.81206726,0.893273986,100,100,100,200,100,200,200,200,200,100,100000,10000,10000,10000,10000,10000,10000,10000,10000000,10000,12,LMG7878,0.000001,1200000000
14,2000,2000,2000,2000,1000,1000,1000,1000,2000000,10000,0.03453079,2022000,0.81206726,0.893273986,200,200,200,200,100,100,100,100,200,100,10000,10000,10000,10000,10000,10000,10000,10000,10000000,100000,7,LMG7878,0.000001,700000000
15,2000,2000000,1000,1000,2000,10000,1000,2000,2000,1000,0.03453079,2022000,0.81206726,0.893273986,200,200,100,100,200,100,100,200,200,100,10000,10000000,10000,10000,10000,100000,10000,10000,10000,10000,9,LMG7878,0.000001,900000000
16,2000,2000,1000,1000,2000,10000,2000,2000000,1000,1000,0.03453079,2022000,0.81206726,0.893273986,200,200,100,100,200,100,200,200,100,100,10000,10000,10000,10000,10000,100000,10000,10000000,10000,10000,4,LMG7878,0.000001,400000000
17,1153.846154,2307.692308,2307.692308,1153.846154,1153846.154,1153.846154,1153.846154,1153.846154,1153.846154,2307.692308,0.038968872,1167692.308,0.809019044,0.889920949,115.3846154,230.7692308,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,115.3846154,115.3846154,230.7692308,10000,10000,10000,10000,10000000,10000,10000,10000,10000,10000,0,LMG7878,0.000001,0
18,1363.636364,1363.636364,1363.636364,1363636.364,1363.636364,1363.636364,1363.636364,1363.636364,2727.272727,13636.36364,0.053707001,1389545.455,0.808189847,0.889008832,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,272.7272727,136.3636364,10000,10000,10000,10000000,10000,10000,10000,10000,10000,100000,3,LMG7878,0.000001,300000000
19,1153.846154,2307.692308,1153.846154,1153846.154,2307.692308,1153.846154,1153.846154,11538.46154,1153.846154,2307.692308,0.059166604,1178076.923,0.806962871,0.887659158,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,230.7692308,10000,10000,10000,10000000,10000,10000,10000,100000,10000,10000,4,LMG7878,0.000001,400000000
20,1153.846154,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,2307.692308,11538.46154,1153846.154,1153.846154,0.059166604,1178076.923,0.806962871,0.887659158,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,10000,10000,10000,10000,10000,10000,10000,100000,10000000,10000,13,LMG7878,0.000001,1300000000
21,1153846.154,1153.846154,2307.692308,1153.846154,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,11538.46154,0.059166604,1178076.923,0.806962871,0.887659158,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,115.3846154,10000000,10000,10000,10000,10000,10000,10000,10000,10000,100000,7,LMG7878,0.000001,700000000
22,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,2307.692308,1153.846154,1153846.154,11538.46154,1153.846154,0.059166604,1178076.923,0.806962871,0.887659158,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,10000,10000,10000,10000,10000,10000,10000,10000000,100000,10000,7,LMG7878,0.000001,700000000
23,1071.428571,2142.857143,2142.857143,2142.857143,10714.28571,1071.428571,2142.857143,1071.428571,1071.428571,1071428.571,0.061889017,1095000,0.806084327,0.886692759,107.1428571,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,10000,10000,10000,10000,100000,10000,10000,10000,10000,10000000,6,LMG7878,0.000001,600000000
24,1071.428571,2142.857143,10714.28571,1071428.571,2142.857143,1071.428571,2142.857143,1071.428571,2142.857143,1071.428571,0.061889017,1095000,0.806084327,0.886692759,107.1428571,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,214.2857143,107.1428571,214.2857143,107.1428571,10000,10000,100000,10000000,10000,10000,10000,10000,10000,10000,3,LMG7878,0.000001,300000000
25,1153.846154,1153.846154,2307.692308,2307.692308,230769.2308,1153.846154,1153.846154,1153.846154,1153.846154,1153.846154,0.13750464,243461.5385,0.776820336,0.85450237,115.3846154,115.3846154,230.7692308,230.7692308,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,115.3846154,10000,10000,10000,10000,1000000,10000,10000,10000,10000,10000,3,LMG7878,0.000001,300000000
26,1875,937.5,937.5,937.5,1875,1875,937.5,1875,187500,1875,0.165851628,200625,0.767204758,0.843925234,187.5,93.75,93.75,93.75,187.5,187.5,93.75,187.5,187.5,187.5,10000,10000,10000,10000,10000,10000,10000,10000,1000000,10000,10,LMG7878,0.000001,1000000000
27,176470.5882,1764.705882,1764.705882,1764.705882,1764.705882,1764.705882,882.3529412,882.3529412,1764.705882,882.3529412,0.175143767,189705.8824,0.762367865,0.838604651,176.4705882,176.4705882,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,88.23529412,176.4705882,88.23529412,1000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,16,LMG7878,0.000001,1600000000
28,1764.705882,1764.705882,882.3529412,1764.705882,1764.705882,176470.5882,882.3529412,1764.705882,1764.705882,882.3529412,0.175143767,189705.8824,0.762367865,0.838604651,176.4705882,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,88.23529412,176.4705882,176.4705882,88.23529412,10000,10000,10000,10000,10000,1000000,10000,10000,10000,10000,10,LMG7878,0.000001,1000000000
29,1250,1250,12500,1250,1250,1250,2500,1250,250000,1250,0.190635626,273750,0.771689498,0.848858447,125,125,125,125,125,125,250,125,250,125,10000,10000,100000,10000,10000,10000,10000,10000,1000000,10000,7,LMG7878,0.000001,700000000
30,1250,12500,1250,250000,1250,2500,1250,1250,1250,1250,0.190635626,273750,0.771689498,0.848858447,125,125,125,250,125,250,125,125,125,125,10000,100000,10000,1000000,10000,10000,10000,10000,10000,10000,12,LMG7878,0.000001,1200000000
31,1153.846154,230769.2308,1153.846154,11538.46154,2307.692308,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,115.3846154,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,10000,1000000,10000,100000,10000,10000,10000,10000,10000,10000,9,LMG7878,0.000001,900000000
32,1153.846154,1153.846154,11538.46154,2307.692308,1153.846154,230769.2308,1153.846154,2307.692308,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,115.3846154,115.3846154,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,230.7692308,115.3846154,115.3846154,10000,10000,100000,10000,10000,1000000,10000,10000,10000,10000,6,LMG7878,0.000001,600000000
33,11538.46154,230769.2308,2307.692308,1153.846154,1153.846154,2307.692308,1153.846154,1153.846154,1153.846154,1153.846154,0.199649412,253846.1538,0.769421488,0.846363636,115.3846154,230.7692308,230.7692308,115.3846154,115.3846154,230.7692308,115.3846154,115.3846154,115.3846154,115.3846154,100000,1000000,10000,10000,10000,10000,10000,10000,10000,10000,27,LMG7878,0.000001,2700000000
34,2142.857143,214285.7143,1071.428571,1071.428571,1071.428571,1071.428571,2142.857143,2142.857143,10714.28571,1071.428571,0.208590558,236785.7143,0.766351296,0.842986425,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,10000,1000000,10000,10000,10000,10000,10000,10000,100000,10000,20,LMG7878,0.000001,2000000000
35,2142.857143,1071.428571,1071.428571,2142.857143,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,10714.28571,0.208590558,236785.7143,0.766351296,0.842986425,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,10000,10000,10000,10000,10000,1000000,10000,10000,10000,100000,22,LMG7878,0.000001,2200000000
36,10714.28571,2142.857143,2142.857143,1071.428571,1071.428571,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,0.208590558,236785.7143,0.766351296,0.842986425,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,100000,10000,10000,10000,10000,10000,1000000,10000,10000,10000,8,LMG7878,0.000001,800000000
37,10714.28571,1071.428571,2142.857143,214285.7143,1071.428571,2142.857143,1071.428571,1071.428571,1071.428571,2142.857143,0.208590558,236785.7143,0.766351296,0.842986425,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,100000,10000,10000,1000000,10000,10000,10000,10000,10000,10000,15,LMG7878,0.000001,1500000000
38,1071.428571,2142.857143,2142.857143,1071.428571,214285.7143,2142.857143,1071.428571,1071.428571,1071.428571,10714.28571,0.208590558,236785.7143,0.766351296,0.842986425,107.1428571,214.2857143,214.2857143,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,10000,10000,10000,10000,1000000,10000,10000,10000,10000,100000,0,LMG7878,0.000001,0
39,200000,1000,1000,2000,2000,1000,2000,1000,10000,2000,0.217460006,222000,0.762489762,0.838738739,200,100,100,200,200,100,200,100,100,200,1000000,10000,10000,10000,10000,10000,10000,10000,100000,10000,14,LMG7878,0.000001,1400000000
40,1000,10000,1000,1000,2000,1000,200000,2000,2000,2000,0.217460006,222000,0.762489762,0.838738739,100,100,100,100,200,100,200,200,200,200,10000,100000,10000,10000,10000,10000,1000000,10000,10000,10000,12,LMG7878,0.000001,1200000000
41,10714.28571,21428.57143,107142.8571,10714.28571,10714.28571,214285.7143,2142.857143,214285.7143,1071.428571,1071428.571,0.50151617,1663928.571,0.679447404,0.747392144,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,214.2857143,107.1428571,107.1428571,100000,100000,1000000,100000,100000,1000000,10000,1000000,10000,10000000,2,LMG7878,0.000001,200000000
42,1071.428571,214285.7143,2142.857143,1071428.571,1071.428571,1071.428571,10714.28571,214285.7143,21428.57143,1071428.571,0.529400543,2608928.571,0.656449505,0.722094456,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,10000,1000000,10000,10000000,10000,10000,100000,1000000,100000,10000000,3,LMG7878,0.000001,300000000
43,1250000,12500,1250,25000,125000,1250,1250,125000,2500,1250000,0.469356874,2793750,0.682652024,0.750917226,125,125,125,250,125,125,125,125,250,125,10000000,100000,10000,100000,1000000,10000,10000,1000000,10000,10000000,3,LMG7878,0.000001,300000000
44,1363.636364,1363.636364,13636.36364,136363.6364,272727.2727,13636.36364,1363.636364,1363636.364,1363636.364,1363.636364,0.491792923,3169090.909,0.675794085,0.743373494,136.3636364,136.3636364,136.3636364,136.3636364,272.7272727,136.3636364,136.3636364,136.3636364,136.3636364,136.3636364,10000,10000,100000,1000000,1000000,100000,10000,10000000,10000000,10000,10,LMG7878,0.000001,1000000000
45,1250,1250,125000,125000,125000,125000,2500,1250000,2500,125000,0.520982927,1882500,0.631896656,0.695086321,125,125,125,125,125,125,250,125,250,125,10000,10000,1000000,1000000,1000000,1000000,10000,10000000,10000,1000000,6,LMG7878,0.000001,600000000
46,214285.7143,214285.7143,1071.428571,214285.7143,107142.8571,1071.428571,1071.428571,2142.857143,1071.428571,1071428.571,0.546621432,1827857.143,0.643397634,0.707737397,214.2857143,214.2857143,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,1000000,1000000,10000,1000000,1000000,10000,10000,10000,10000,10000000,1,LMG7878,0.000001,100000000
47,1875,18750,937.5,937500,93750,937500,18750,18750,187500,18750,0.538311429,2234062.5,0.652996605,0.718296265,187.5,187.5,93.75,93.75,93.75,93.75,187.5,187.5,187.5,187.5,10000,100000,10000,10000000,1000000,10000000,100000,100000,1000000,100000,0,LMG7878,0.000001,0
48,214285.7143,107142.8571,2142.857143,2142.857143,107142.8571,10714.28571,107142.8571,2142.857143,1071.428571,1071428.571,0.496732332,1625357.143,0.67423743,0.741661173,214.2857143,107.1428571,214.2857143,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,1000000,1000000,10000,10000,1000000,100000,1000000,10000,10000,10000000,5,LMG7878,0.000001,500000000
49,1875,1875,18750,9375,187500,93750,18750,18750,937500,93750,0.489072844,1381875,0.682003207,0.750203528,187.5,187.5,187.5,93.75,187.5,93.75,187.5,187.5,93.75,93.75,10000,10000,100000,100000,1000000,1000000,100000,100000,10000000,1000000,5,LMG7878,0.000001,500000000
50,1000,100000,1000000,20000,200000,100000,20000,2000,2000,1000,0.453770424,1446000,0.702124984,0.772337483,100,100,100,200,200,100,200,200,200,100,10000,1000000,10000000,100000,1000000,1000000,100000,10000,10000,10000,3,LMG7878,0.000001,300000000
51,1875,187500,1875,18750,9375,187500,937500,18750,9375,93750,0.512870177,1466250,0.673564287,0.740920716,187.5,187.5,187.5,187.5,93.75,187.5,93.75,187.5,93.75,93.75,10000,1000000,10000,100000,100000,1000000,10000000,100000,100000,1000000,22,LMG7878,0.000001,2200000000
52,2142.857143,214285.7143,1071428.571,2142.857143,10714.28571,107142.8571,107142.8571,21428.57143,1071.428571,10714.28571,0.455763543,1548214.286,0.701289714,0.771418685,214.2857143,214.2857143,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,10000,1000000,10000000,10000,100000,1000000,1000000,100000,10000,100000,6,LMG7878,0.000001,600000000
53,1666.666667,16666.66667,166666.6667,16666.66667,16666.66667,1666.666667,1666.666667,8333.333333,833.3333333,16666.66667,0.533044063,247500,0.633914907,0.697306397,166.6666667,166.6666667,166.6666667,166.6666667,166.6666667,166.6666667,166.6666667,83.33333333,83.33333333,166.6666667,10000,100000,1000000,100000,100000,10000,10000,100000,10000,100000,6,LMG7878,0.000001,600000000
54,937.5,9375,93750,18750,187500,1875,1875,1875,1875,937.5,0.476670567,318750,0.694652406,0.764117647,93.75,93.75,93.75,187.5,187.5,187.5,187.5,187.5,187.5,93.75,10000,100000,1000000,100000,1000000,10000,10000,10000,10000,10000,8,LMG7878,0.000001,800000000
55,2000,1000,2000,100000,1000,10000,200000,10000,20000,2000,0.507002293,348000,0.68077325,0.748850575,200,100,200,100,100,100,200,100,200,200,10000,10000,10000,1000000,10000,100000,1000000,100000,100000,10000,13,LMG7878,0.000001,1300000000
56,1071.428571,1071.428571,107142.8571,10714.28571,2142.857143,10714.28571,2142.857143,21428.57143,214285.7143,10714.28571,0.536195169,381428.5714,0.663432074,0.729775281,107.1428571,107.1428571,107.1428571,107.1428571,214.2857143,107.1428571,214.2857143,214.2857143,214.2857143,107.1428571,10000,10000,1000000,100000,10000,100000,10000,100000,1000000,100000,9,LMG7878,0.000001,900000000
57,1764.705882,1764.705882,1764.705882,1764.705882,176470.5882,88235.29412,176470.5882,8823.529412,1764.705882,882.3529412,0.541363063,459705.8824,0.64404118,0.708445298,176.4705882,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,176.4705882,88.23529412,176.4705882,88.23529412,10000,10000,10000,10000,1000000,1000000,1000000,100000,10000,10000,17,LMG7878,0.000001,1700000000
58,1764.705882,17647.05882,17647.05882,1764.705882,88235.29412,882.3529412,176470.5882,1764.705882,882.3529412,1764.705882,0.502195362,308823.5294,0.682597403,0.750857143,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,88.23529412,176.4705882,176.4705882,88.23529412,176.4705882,10000,100000,100000,10000,1000000,10000,1000000,10000,10000,10000,7,LMG7878,0.000001,700000000
59,2000,200000,1000,1000,20000,2000,100000,2000,1000,10000,0.471105955,339000,0.698042371,0.767846608,200,200,100,100,200,200,100,200,100,100,10000,1000000,10000,10000,100000,10000,1000000,10000,10000,100000,1,LMG7878,0.000001,100000000
60,8823.529412,17647.05882,1764.705882,17647.05882,176470.5882,88235.29412,1764.705882,1764.705882,1764.705882,882.3529412,0.536555621,316764.7059,0.665738162,0.732311978,88.23529412,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,88.23529412,100000,100000,10000,100000,1000000,1000000,10000,10000,10000,10000,10,LMG7878,0.000001,1000000000
61,100000,100000,200000,200000,100000,200000,200000,1000000,200000,100000,0.83811541,2400000,0.363636364,0.4,100,100,200,200,100,200,200,100,200,100,1000000,1000000,1000000,1000000,1000000,1000000,1000000,10000000,1000000,1000000,2,LMG7878,0.000001,200000000
62,200000,100000,100000,200000,100000,100000,200000,200000,200000,1000000,0.83811541,2400000,0.363636364,0.4,200,100,100,200,100,100,200,200,200,100,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,10000000,2,LMG7878,0.000001,200000000
63,17647.05882,882352.9412,176470.5882,176470.5882,176470.5882,176470.5882,176470.5882,88235.29412,176470.5882,88235.29412,0.827097765,2135294.118,0.376408715,0.414049587,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,176.4705882,88.23529412,100000,10000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,LMG7878,0.000001,0
64,176470.5882,176470.5882,88235.29412,882352.9412,176470.5882,88235.29412,176470.5882,17647.05882,176470.5882,176470.5882,0.827097765,2135294.118,0.376408715,0.414049587,176.4705882,176.4705882,88.23529412,88.23529412,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,176.4705882,1000000,1000000,1000000,10000000,1000000,1000000,1000000,100000,1000000,1000000,1,LMG7878,0.000001,100000000
65,214285.7143,107142.8571,107142.8571,214285.7143,107142.8571,107142.8571,1071428.571,214285.7143,214285.7143,107142.8571,0.822239142,2464285.714,0.383399209,0.42173913,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,1000000,1000000,1000000,1000000,1000000,1000000,10000000,1000000,1000000,1000000,2,LMG7878,0.000001,200000000
66,157894.7368,157894.7368,157894.7368,157894.7368,15789.47368,789473.6842,157894.7368,157894.7368,15789.47368,157894.7368,0.816290157,1926315.789,0.375558867,0.413114754,157.8947368,157.8947368,157.8947368,157.8947368,157.8947368,78.94736842,157.8947368,157.8947368,157.8947368,157.8947368,1000000,1000000,1000000,1000000,100000,10000000,1000000,1000000,100000,1000000,2,LMG7878,0.000001,200000000
